cohort_trait	phenotype	full_trait_name	category	trait_outcome	is_subset	n	public	agreement_or_registration	download_url	reference
Anderson_Ulcerative_colitis	Ulcerative_colitis	ulcerative_colitis	immunological	binary	no	26405	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/21297633
Bentham_SLE	Systemic_lupus_erythematosus	systemic_lupus_erythematosus	immunological	binary	no	23210	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/26502338
BodyFatPercentage	Body_fat_percentage	body_fat_percentage	anthropometric	quantitative	no	100716	yes	no	http://walker05.u.hpc.mssm.edu/body_fat_percentage_GWAS_PLUS_MC_ALL_ancestry_se_Sex_combined_for_locus_zoom_plot.TBL.txt	http://www.ncbi.nlm.nih.gov/pubmed/?term=26833246
CARDIoGRAM	NA	coronary_heart_disease	cardiovascular	binary	no	86995	yes	no	http://www.cardiogramplusc4d.org/data-downloads/	http://www.ncbi.nlm.nih.gov/pubmed/21378990
CARDIoGRAM_CAD_add	Coronary_artery_disease_additive	coronary_artery_disease_additive	cardiovascular	binary	no	184305	yes	no	http://www.cardiogramplusc4d.org/data-downloads/	http://www.ncbi.nlm.nih.gov/pubmed/26343387
CARDIoGRAM_CAD_rec	Coronary_artery_disease_recessive	coronary_artery_disease_recessive	cardiovascular	binary	no	184305	yes	no	http://www.cardiogramplusc4d.org/data-downloads/	http://www.ncbi.nlm.nih.gov/pubmed/26343387
CARDIoGRAM_CHD	Coronary_artery_disease_discovery	coronary_heart_disease	cardiovascular	binary	no	86995	yes	no	http://www.cardiogramplusc4d.org/data-downloads/	http://www.ncbi.nlm.nih.gov/pubmed/21378990
CARDIoGRAM_MI_add	Myocardial_infarction	myocardial_infarction	cardiovascular	binary	no	184305	yes	no	http://www.cardiogramplusc4d.org/data-downloads/	http://www.ncbi.nlm.nih.gov/pubmed/26343387
CD_EUR	Crohns_disease_discovery	crohns_disease	immunological	binary	no	96486	yes	no	http://www.ibdgenetics.org/downloads.html	http://www.nature.com/ng/journal/v47/n9/abs/ng.3359.html
CD_EUR2	Crohns_disease	crohns_disease	immunological	binary	no	96486	yes	no	http://www.ibdgenetics.org/downloads.html	http://www.nature.com/ng/journal/v47/n9/abs/ng.3359.html
CHARGE_160	Palmitic_acid_levels	palmitic_acid_concentration	metabolic	quantitative	no	8961	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/23362303
CHARGE_161n7	Palmitoleic_acid_levels	palmitoleic_acid_concentration	metabolic	quantitative	no	8961	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/23362303
CHARGE_180	Stearic_acid_levels	stearic_acid_concentration	metabolic	quantitative	no	8961	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/23362303
CHARGE_181n9	Oleic_acid_levels	oleic_acid_concentration	metabolic	quantitative	no	8961	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/23362303
CHARGE_N3_ALA	ALA_levels	plasma_phospholipid_n3_fatty_acids_ALA	metabolic	quantitative	no	8866	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/21829377
CHARGE_N3_DHA	DHA_levels	plasma_phospholipid_n3_fatty_acids_DHA	metabolic	quantitative	no	8866	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/21829377
CHARGE_N3_DPA	DPA_levels	plasma_phospholipid_n3_fatty_acids_DPA	metabolic	quantitative	no	8866	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/21829377
CHARGE_N3_EPA	EPA_levels	plasma_phospholipid_n3_fatty_acids_EPA	metabolic	quantitative	no	8866	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/21829377
CHARGE_N6meta1821	Linoleic_acid_levels	linoleic_acis_circulating_levels	metabolic	quantitative	no	8631	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/24823311
CHARGE_N6meta1831	Gamma-linolenic_acid_levels	gamma-linoleic_acid_circulating_levels	metabolic	quantitative	no	8631	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/24823311
CHARGE_N6meta2031	Dihomo-gamma-linolenic_acid_levels	dihomo-gamma-linolenic_acid_circulating_levels	metabolic	quantitative	no	8631	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/24823311
CHARGE_N6meta2041	Arachidonic_acid_levels	arachidonic_acid_circulating_levels	metabolic	quantitative	no	8631	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/24823311
CHARGE_N6meta2241	Adrenic_acid_levels	adrenic_acid_circulating_levels	metabolic	quantitative	no	8631	yes	no	http://www.chargeconsortium.com/main/results	http://www.ncbi.nlm.nih.gov/pubmed/24823311
